"Specimen_No","Specimen","Site_No","Site","Period_No","Period","Element_Portion","Element","LSI","p_immature","p_female","p_male"
1154,"Animal.527",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.019,0.25,0.55,0.2
1155,"Animal.5270",18,"Tell Beydar",5,"EBA",9,"PH1",0.119,0,0.32,0.68
1156,"Animal.5271",18,"Tell Beydar",5,"EBA",9,"PH1",0.173,0,0.17,0.83
1157,"Animal.5272",18,"Tell Beydar",5,"EBA",10,"PH2",0.157,0,0.28,0.72
1158,"Animal.5273",18,"Tell Beydar",5,"EBA",10,"PH2",0.208,0,0.22,0.78
1159,"Animal.5274",18,"Tell Beydar",5,"EBA",10,"PH2",0.103,0,0.44,0.56
1160,"Animal.5275",21,"Tell Mozan",5,"EBA",5,"Tib",-0.17,0,0.59,0.41
1161,"Animal.5276",21,"Tell Mozan",5,"EBA",5,"Tib",-0.188,0,0.66,0.34
1162,"Animal.5277",21,"Tell Mozan",5,"EBA",5,"Tib",-0.14,0,0.48,0.52
1163,"Animal.5278",21,"Tell Mozan",5,"EBA",5,"Tib",-0.047,0,0.27,0.73
1164,"Animal.5279",21,"Tell Mozan",5,"EBA",5,"Tib",-0.17,0,0.59,0.41
1165,"Animal.528",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.082,0.14,0.41,0.45
1166,"Animal.5280",21,"Tell Mozan",5,"EBA",5,"Tib",-0.104,0,0.36,0.64
1167,"Animal.5281",21,"Tell Mozan",5,"EBA",5,"Tib",-0.202,0,0.71,0.29
1168,"Animal.5282",21,"Tell Mozan",5,"EBA",5,"Tib",-0.092,0,0.33,0.67
1169,"Animal.5283",21,"Tell Mozan",5,"EBA",5,"Tib",-0.188,0,0.66,0.34
1170,"Animal.5284",21,"Tell Mozan",5,"EBA",5,"Tib",-0.093,0,0.34,0.66
1171,"Animal.5285",21,"Tell Mozan",5,"EBA",5,"Tib",-0.179,0,0.62,0.38
1172,"Animal.5286",21,"Tell Mozan",5,"EBA",5,"Tib",-0.116,0,0.4,0.6
1173,"Animal.5287",21,"Tell Mozan",5,"EBA",5,"Tib",-0.302,0,0.9,0.1
1174,"Animal.5288",21,"Tell Mozan",5,"EBA",5,"Tib",-0.258,0,0.86,0.14
1175,"Animal.5289",21,"Tell Mozan",5,"EBA",5,"Tib",-0.278,0,0.88,0.12
1176,"Animal.529",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.05,0.19,0.5,0.31
1177,"Animal.5290",21,"Tell Mozan",5,"EBA",5,"Tib",-0.188,0,0.66,0.34
1178,"Animal.5291",21,"Tell Mozan",5,"EBA",5,"Tib",-0.066,0,0.29,0.71
1179,"Animal.5292",21,"Tell Mozan",5,"EBA",5,"Tib",-0.129,0,0.44,0.56
1180,"Animal.5293",21,"Tell Mozan",5,"EBA",5,"Tib",-0.12,0,0.41,0.59
1181,"Animal.5294",21,"Tell Mozan",5,"EBA",5,"Tib",-0.17,0,0.59,0.41
1182,"Animal.5295",21,"Tell Mozan",5,"EBA",5,"Tib",-0.268,0,0.87,0.13
1183,"Animal.5296",21,"Tell Mozan",5,"EBA",5,"Tib",-0.254,0,0.85,0.15
1184,"Animal.5297",21,"Tell Mozan",5,"EBA",5,"Tib",-0.081,0,0.31,0.69
1185,"Animal.5298",21,"Tell Mozan",5,"EBA",5,"Tib",-0.171,0,0.59,0.41
1186,"Animal.5299",21,"Tell Mozan",5,"EBA",5,"Tib",-0.133,0,0.45,0.55
1187,"Animal.53",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.022,0.25,0.61,0.14
1188,"Animal.530",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.155,0.05,0.2,0.76
1189,"Animal.5300",21,"Tell Mozan",5,"EBA",5,"Tib",-0.278,0,0.88,0.12
1190,"Animal.5301",21,"Tell Mozan",5,"EBA",5,"Tib",-0.157,0,0.54,0.46
1191,"Animal.5302",21,"Tell Mozan",5,"EBA",5,"Tib",-0.193,0,0.68,0.32
1192,"Animal.5303",21,"Tell Mozan",5,"EBA",5,"Tib",-0.253,0,0.85,0.15
1193,"Animal.5304",21,"Tell Mozan",5,"EBA",5,"Tib",-0.136,0,0.46,0.54
1194,"Animal.5305",21,"Tell Mozan",5,"EBA",5,"Tib",-0.093,0,0.34,0.66
1195,"Animal.5306",21,"Tell Mozan",5,"EBA",5,"Tib",-0.158,0,0.54,0.46
1196,"Animal.5307",21,"Tell Mozan",5,"EBA",5,"Tib",-0.12,0,0.41,0.59
1197,"Animal.5308",21,"Tell Mozan",5,"EBA",5,"Tib",-0.145,0,0.49,0.51
1198,"Animal.5309",21,"Tell Mozan",5,"EBA",5,"Tib",-0.225,0,0.78,0.22
1199,"Animal.531",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",-0.084,0.39,0.55,0.06
1200,"Animal.5310",21,"Tell Mozan",5,"EBA",5,"Tib",-0.263,0,0.87,0.13
1201,"Animal.5311",21,"Tell Mozan",5,"EBA",5,"Tib",-0.17,0,0.59,0.41
1202,"Animal.5312",21,"Tell Mozan",5,"EBA",5,"Tib",-0.104,0,0.36,0.64
1203,"Animal.5313",21,"Tell Mozan",5,"EBA",5,"Tib",-0.162,0,0.56,0.44
1204,"Animal.5314",21,"Tell Mozan",5,"EBA",5,"Tib",-0.112,0,0.39,0.61
1205,"Animal.5315",21,"Tell Mozan",5,"EBA",5,"Tib",-0.124,0,0.42,0.58
1206,"Animal.5316",21,"Tell Mozan",5,"EBA",5,"Tib",-0.17,0,0.59,0.41
1207,"Animal.5317",21,"Tell Mozan",5,"EBA",5,"Tib",-0.153,0,0.52,0.48
1208,"Animal.532",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.007,0.27,0.56,0.17
1209,"Animal.533",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.005,0.28,0.56,0.16
1210,"Animal.534",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.157,0.04,0.19,0.77
1211,"Animal.535",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.059,0.18,0.47,0.35
1212,"Animal.536",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.052,0.19,0.49,0.32
1213,"Animal.537",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0,0.28,0.56,0.15
1214,"Animal.538",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.097,0.11,0.36,0.52
1215,"Animal.539",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",-0.022,0.32,0.57,0.11
1216,"Animal.54",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.007,0.27,0.61,0.12
1217,"Animal.540",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.074,0.15,0.43,0.42
1218,"Animal.541",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",0.116,0.09,0.3,0.61
1219,"Animal.542",12,"Mezraa-Teleilat",1,"PPNB",1,"Hum_dist",-0.041,0.35,0.57,0.09
1220,"Animal.543",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.062,0.34,0.36,0.29
1221,"Animal.544",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.008,0.47,0.4,0.14
1222,"Animal.545",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.138,0.13,0.22,0.65
1223,"Animal.546",12,"Mezraa-Teleilat",1,"PPNB",3,"Rad_dist",0.018,0,0.65,0.35
1224,"Animal.547",12,"Mezraa-Teleilat",1,"PPNB",3,"Rad_dist",0.031,0,0.61,0.39
1225,"Animal.548",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.017,0.45,0.39,0.15
1226,"Animal.549",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.048,0.38,0.38,0.24
1227,"Animal.55",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.051,0.21,0.59,0.2
1228,"Animal.550",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.054,0.36,0.37,0.26
1229,"Animal.551",12,"Mezraa-Teleilat",1,"PPNB",3,"Rad_dist",0.027,0,0.62,0.38
1230,"Animal.552",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",-0.012,0.5,0.39,0.1
1231,"Animal.553",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.008,0.47,0.4,0.14
1232,"Animal.554",12,"Mezraa-Teleilat",1,"PPNB",3,"Rad_dist",0.125,0,0.25,0.75
1233,"Animal.555",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.076,0.3,0.35,0.35
1234,"Animal.556",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.042,0.39,0.38,0.22
