"Specimen_No","Specimen","Site_No","Site","Period_No","Period","Element_Portion","Element","LSI","p_immature","p_female","p_male"
1327,"Animal.6198",3,"Domuztepe",2,"Halaf",9,"PH1",0.026,0,0.69,0.31
1328,"Animal.6199",3,"Domuztepe",2,"Halaf",9,"PH1",0.073,0,0.51,0.49
1329,"Animal.62",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.078,0.17,0.55,0.29
1330,"Animal.620",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.016,0.61,0.32,0.08
1331,"Animal.6200",3,"Domuztepe",2,"Halaf",9,"PH1",0.01,0,0.73,0.27
1332,"Animal.6201",3,"Domuztepe",2,"Halaf",9,"PH1",-0.044,0,0.8,0.2
1333,"Animal.6202",3,"Domuztepe",2,"Halaf",9,"PH1",0.036,0,0.65,0.35
1334,"Animal.6203",3,"Domuztepe",2,"Halaf",9,"PH1",0.05,0,0.61,0.39
1335,"Animal.6204",3,"Domuztepe",2,"Halaf",9,"PH1",0.325,0,0.07,0.93
1336,"Animal.6205",3,"Domuztepe",2,"Halaf",9,"PH1",-0.045,0,0.8,0.2
1337,"Animal.6206",3,"Domuztepe",2,"Halaf",9,"PH1",-0.055,0,0.81,0.19
1338,"Animal.6208",3,"Domuztepe",2,"Halaf",9,"PH1",0.13,0,0.25,0.75
1339,"Animal.6209",3,"Domuztepe",2,"Halaf",9,"PH1",0.019,0,0.71,0.29
1340,"Animal.621",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.084,0.49,0.29,0.22
1341,"Animal.6210",3,"Domuztepe",2,"Halaf",10,"PH2",0.002,0,0.67,0.33
1342,"Animal.6211",3,"Domuztepe",2,"Halaf",10,"PH2",0.08,0,0.4,0.6
1343,"Animal.6212",3,"Domuztepe",2,"Halaf",10,"PH2",-0.057,0,0.81,0.19
1344,"Animal.6213",5,"El Kowm 2",1,"PPNB",5,"Tib",0.106,0,0.5,0.5
1345,"Animal.622",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.066,0.53,0.3,0.17
1346,"Animal.623",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.048,0.56,0.31,0.13
1347,"Animal.624",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.075,0.51,0.29,0.19
1348,"Animal.625",12,"Mezraa-Teleilat",1,"PPNB",7,"Cal",0.135,0,0.54,0.46
1349,"Animal.626",12,"Mezraa-Teleilat",1,"PPNB",7,"Cal",0.179,0,0.39,0.61
1350,"Animal.627",12,"Mezraa-Teleilat",1,"PPNB",8,"Mtt",0.14,0,0.35,0.65
1351,"Animal.628",1,"Atij",5,"EBA",1,"Hum_dist",0.165,0.05,0.25,0.7
1352,"Animal.629",1,"Atij",5,"EBA",1,"Hum_dist",-0.033,0.28,0.62,0.1
1353,"Animal.63",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.139,0.08,0.36,0.56
1354,"Animal.630",1,"Atij",5,"EBA",1,"Hum_dist",0.029,0.23,0.59,0.18
1355,"Animal.6300",15,"Rubeidheh",4,"LC 4-5",5,"Tib",0.106,0,0.78,0.22
1356,"Animal.6301",15,"Rubeidheh",4,"LC 4-5",5,"Tib",0.179,0,0.54,0.46
1357,"Animal.6302",15,"Rubeidheh",4,"LC 4-5",5,"Tib",0.172,0,0.57,0.43
1358,"Animal.6303",15,"Rubeidheh",4,"LC 4-5",5,"Tib",0.278,0,0.2,0.8
1359,"Animal.6304",15,"Rubeidheh",4,"LC 4-5",5,"Tib",0.323,0,0.14,0.86
1360,"Animal.6305",15,"Rubeidheh",4,"LC 4-5",5,"Tib",0.116,0,0.76,0.24
1361,"Animal.6306",15,"Rubeidheh",4,"LC 4-5",5,"Tib",0.211,0,0.41,0.59
1362,"Animal.631",1,"Atij",5,"EBA",1,"Hum_dist",0.119,0.1,0.39,0.5
1363,"Animal.632",1,"Atij",5,"EBA",1,"Hum_dist",0.065,0.18,0.54,0.28
1364,"Animal.633",1,"Atij",5,"EBA",1,"Hum_dist",0.134,0.08,0.35,0.57
1365,"Animal.634",1,"Atij",5,"EBA",1,"Hum_dist",0.078,0.16,0.51,0.33
1366,"Animal.635",1,"Atij",5,"EBA",1,"Hum_dist",0.131,0.08,0.36,0.56
1367,"Animal.636",1,"Atij",5,"EBA",1,"Hum_dist",0.238,0.01,0.12,0.86
1368,"Animal.637",7,"Gudeda",5,"EBA",1,"Hum_dist",0.217,0.02,0.16,0.81
1369,"Animal.638",7,"Gudeda",5,"EBA",1,"Hum_dist",0.067,0.2,0.55,0.25
1370,"Animal.639",7,"Gudeda",5,"EBA",1,"Hum_dist",0.093,0.16,0.5,0.34
1371,"Animal.64",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.195,0.03,0.17,0.8
1372,"Animal.640",7,"Gudeda",5,"EBA",1,"Hum_dist",0.097,0.15,0.49,0.36
1373,"Animal.641",14,"Raqai",5,"EBA",1,"Hum_dist",0.1,0.1,0.41,0.49
1374,"Animal.642",14,"Raqai",5,"EBA",1,"Hum_dist",0.039,0.19,0.56,0.25
1375,"Animal.643",14,"Raqai",5,"EBA",1,"Hum_dist",0.091,0.12,0.43,0.45
1376,"Animal.644",14,"Raqai",5,"EBA",1,"Hum_dist",0.053,0.17,0.53,0.3
1377,"Animal.645",14,"Raqai",5,"EBA",1,"Hum_dist",0.087,0.12,0.44,0.43
1378,"Animal.646",14,"Raqai",5,"EBA",1,"Hum_dist",0.127,0.07,0.32,0.6
1379,"Animal.647",1,"Atij",5,"EBA",3,"Rad_dist",0.072,0,0.57,0.43
1380,"Animal.648",1,"Atij",5,"EBA",2,"Rad_prox",0.13,0.19,0.3,0.51
1381,"Animal.649",1,"Atij",5,"EBA",2,"Rad_prox",0.036,0.39,0.43,0.18
1382,"Animal.65",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.1,0.13,0.49,0.38
1383,"Animal.650",7,"Gudeda",5,"EBA",3,"Rad_dist",0.197,0,0.24,0.76
1384,"Animal.651",7,"Gudeda",5,"EBA",2,"Rad_prox",0.054,0.36,0.41,0.22
1385,"Animal.652",14,"Raqai",5,"EBA",2,"Rad_prox",-0.022,0.43,0.47,0.1
1386,"Animal.653",14,"Raqai",5,"EBA",2,"Rad_prox",0.001,0.41,0.46,0.13
1387,"Animal.654",14,"Raqai",5,"EBA",2,"Rad_prox",0.207,0.03,0.15,0.82
1388,"Animal.655",14,"Raqai",5,"EBA",3,"Rad_dist",0,0,0.71,0.29
1389,"Animal.656",14,"Raqai",5,"EBA",3,"Rad_dist",0.015,0,0.66,0.34
1390,"Animal.657",14,"Raqai",5,"EBA",2,"Rad_prox",0.121,0.16,0.3,0.53
1391,"Animal.658",14,"Raqai",5,"EBA",2,"Rad_prox",0.064,0.3,0.4,0.29
1392,"Animal.659",14,"Raqai",5,"EBA",2,"Rad_prox",0.065,0.3,0.4,0.29
1393,"Animal.66",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.178,0.04,0.22,0.74
1394,"Animal.660",14,"Raqai",5,"EBA",2,"Rad_prox",0.119,0.17,0.31,0.53
1395,"Animal.661",29,"Ziyadeh",5,"EBA",3,"Rad_dist",0.174,0,0.31,0.69
1396,"Animal.662",7,"Gudeda",5,"EBA",4,"Mtc",0.03,0,0.77,0.23
1397,"Animal.663",7,"Gudeda",5,"EBA",4,"Mtc",0.062,0,0.67,0.33
1398,"Animal.664",7,"Gudeda",5,"EBA",4,"Mtc",0.108,0,0.49,0.51
1399,"Animal.665",7,"Gudeda",5,"EBA",4,"Mtc",0.183,0,0.22,0.78
1400,"Animal.666",7,"Gudeda",5,"EBA",4,"Mtc",0.163,0,0.27,0.73
1401,"Animal.667",7,"Gudeda",5,"EBA",4,"Mtc",0.066,0,0.65,0.35
1402,"Animal.668",14,"Raqai",5,"EBA",4,"Mtc",0.171,0,0.27,0.73
1403,"Animal.669",14,"Raqai",5,"EBA",4,"Mtc",0.017,0,0.81,0.19
1404,"Animal.67",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.198,0.03,0.17,0.81
1405,"Animal.670",14,"Raqai",5,"EBA",4,"Mtc",0.133,0,0.41,0.59
1406,"Animal.671",14,"Raqai",5,"EBA",4,"Mtc",0.126,0,0.44,0.56
1407,"Animal.672",14,"Raqai",5,"EBA",4,"Mtc",0.091,0,0.58,0.42
1408,"Animal.673",14,"Raqai",5,"EBA",4,"Mtc",0.075,0,0.64,0.36
1409,"Animal.674",14,"Raqai",5,"EBA",4,"Mtc",0.104,0,0.53,0.47
1410,"Animal.675",14,"Raqai",5,"EBA",4,"Mtc",0.182,0,0.24,0.76
1411,"Animal.676",14,"Raqai",5,"EBA",4,"Mtc",0.151,0,0.34,0.66
1412,"Animal.677",14,"Raqai",5,"EBA",4,"Mtc",0.144,0,0.37,0.63
1413,"Animal.678",1,"Atij",5,"EBA",6,"Ast",0.124,0.32,0.26,0.43
1414,"Animal.679",1,"Atij",5,"EBA",6,"Ast",0.082,0.44,0.31,0.25
1415,"Animal.68",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.141,0.08,0.35,0.57
1416,"Animal.680",1,"Atij",5,"EBA",6,"Ast",0.05,0.5,0.34,0.16
1417,"Animal.681",1,"Atij",5,"EBA",6,"Ast",-0.003,0.56,0.36,0.09
1418,"Animal.683",1,"Atij",5,"EBA",6,"Ast",0.067,0.47,0.33,0.2
1419,"Animal.684",7,"Gudeda",5,"EBA",6,"Ast",0.062,0.49,0.33,0.18
1420,"Animal.685",7,"Gudeda",5,"EBA",6,"Ast",0.031,0.53,0.35,0.12
1421,"Animal.686",7,"Gudeda",5,"EBA",6,"Ast",0.075,0.46,0.32,0.22
1422,"Animal.687",14,"Raqai",5,"EBA",6,"Ast",0.068,0.46,0.33,0.21
1423,"Animal.688",14,"Raqai",5,"EBA",6,"Ast",0.009,0.54,0.36,0.09
1424,"Animal.689",14,"Raqai",5,"EBA",6,"Ast",0.025,0.53,0.36,0.12
1425,"Animal.69",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.139,0.08,0.36,0.56
1426,"Animal.690",14,"Raqai",5,"EBA",6,"Ast",0.042,0.5,0.35,0.14
1427,"Animal.691",14,"Raqai",5,"EBA",6,"Ast",0.093,0.41,0.3,0.3
1428,"Animal.692",14,"Raqai",5,"EBA",6,"Ast",0.042,0.51,0.35,0.15
1429,"Animal.693",14,"Raqai",5,"EBA",6,"Ast",0.029,0.52,0.36,0.12
1430,"Animal.694",14,"Raqai",5,"EBA",6,"Ast",0.125,0.31,0.25,0.44
1431,"Animal.695",14,"Raqai",5,"EBA",6,"Ast",0.125,0.31,0.25,0.44
1432,"Animal.696",14,"Raqai",5,"EBA",6,"Ast",0.141,0.25,0.23,0.52
1433,"Animal.697",14,"Raqai",5,"EBA",6,"Ast",0.059,0.48,0.34,0.18
1434,"Animal.698",14,"Raqai",5,"EBA",6,"Ast",0.077,0.44,0.32,0.24
1435,"Animal.699",14,"Raqai",5,"EBA",6,"Ast",0.103,0.38,0.29,0.34
1436,"Animal.7",25,"Tell Surezha",3,"LC 1-3",6,"Ast",0.139,0.53,0.29,0.18
1437,"Animal.70",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.131,0.09,0.39,0.52
1438,"Animal.700",14,"Raqai",5,"EBA",6,"Ast",0.132,0.28,0.24,0.47
1439,"Animal.701",14,"Raqai",5,"EBA",6,"Ast",0.053,0.49,0.34,0.17
1440,"Animal.702",1,"Atij",5,"EBA",7,"Cal",0.142,0,0.4,0.6
1441,"Animal.703",7,"Gudeda",5,"EBA",7,"Cal",0.14,0,0.45,0.55
1442,"Animal.704",7,"Gudeda",5,"EBA",7,"Cal",0.152,0,0.41,0.59
1443,"Animal.705",7,"Gudeda",5,"EBA",7,"Cal",0.17,0,0.36,0.64
1444,"Animal.706",7,"Gudeda",5,"EBA",7,"Cal",0.172,0,0.35,0.65
1445,"Animal.707",14,"Raqai",5,"EBA",7,"Cal",0.129,0,0.36,0.64
1446,"Animal.708",14,"Raqai",5,"EBA",7,"Cal",0.119,0,0.39,0.61
1447,"Animal.709",14,"Raqai",5,"EBA",7,"Cal",0.096,0,0.46,0.54
1448,"Animal.71",5,"El Kowm 2",1,"PPNB",1,"Hum_dist",0.101,0.13,0.49,0.38
1449,"Animal.710",14,"Raqai",5,"EBA",7,"Cal",0.12,0,0.39,0.61
1450,"Animal.712",14,"Raqai",5,"EBA",7,"Cal",0.066,0,0.58,0.42
1451,"Animal.713",14,"Raqai",5,"EBA",7,"Cal",0.173,0,0.28,0.72
1452,"Animal.714",14,"Raqai",5,"EBA",7,"Cal",0.188,0,0.26,0.74
1453,"Animal.715",14,"Raqai",5,"EBA",7,"Cal",-0.134,0,0.89,0.11
1454,"Animal.717",14,"Raqai",5,"EBA",7,"Cal",0.057,0,0.61,0.39
1455,"Animal.718",14,"Raqai",5,"EBA",7,"Cal",0.181,0,0.27,0.73
1456,"Animal.72",5,"El Kowm 2",1,"PPNB",2,"Rad_prox",0.126,0.2,0.34,0.47
1457,"Animal.720",14,"Raqai",5,"EBA",7,"Cal",0.079,0,0.53,0.47
1458,"Animal.721",1,"Atij",5,"EBA",8,"Mtt",0.054,0,0.59,0.41
1459,"Animal.722",1,"Atij",5,"EBA",8,"Mtt",0.056,0,0.58,0.42
1460,"Animal.723",7,"Gudeda",5,"EBA",8,"Mtt",0.163,0,0.32,0.68
1461,"Animal.724",14,"Raqai",5,"EBA",8,"Mtt",0.005,0,0.71,0.29
1462,"Animal.725",14,"Raqai",5,"EBA",8,"Mtt",0.068,0,0.48,0.52
1463,"Animal.73",5,"El Kowm 2",1,"PPNB",3,"Rad_dist",0.041,0,0.69,0.31
1464,"Animal.74",5,"El Kowm 2",1,"PPNB",2,"Rad_prox",0.034,0.4,0.45,0.15
1465,"Animal.75",5,"El Kowm 2",1,"PPNB",3,"Rad_dist",0.02,0,0.75,0.25
1466,"Animal.7583",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.171,0.06,0.36,0.59
1467,"Animal.7584",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.123,0.11,0.5,0.39
1468,"Animal.7585",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.147,0.08,0.43,0.49
1469,"Animal.7586",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.055,0.18,0.64,0.18
1470,"Animal.7587",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.155,0.07,0.41,0.52
1471,"Animal.7588",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.067,0.17,0.63,0.2
1472,"Animal.7589",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.091,0.14,0.58,0.28
1473,"Animal.7590",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.111,0.12,0.53,0.35
1474,"Animal.7591",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.157,0.07,0.4,0.53
1475,"Animal.7592",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.108,0.12,0.54,0.33
1476,"Animal.7593",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.105,0.13,0.55,0.32
1477,"Animal.7594",22,"Tell Mozan",6,"MBA",1,"Hum_dist",0.158,0.07,0.4,0.54
1478,"Animal.7595",22,"Tell Mozan",6,"MBA",3,"Rad_dist",-0.081,0,0.88,0.12
1479,"Animal.7596",22,"Tell Mozan",6,"MBA",3,"Rad_dist",-0.009,0,0.78,0.22
1480,"Animal.7597",22,"Tell Mozan",6,"MBA",2,"Rad_prox",0.01,0.36,0.53,0.11
1481,"Animal.7598",22,"Tell Mozan",6,"MBA",3,"Rad_dist",0.076,0,0.49,0.51
1482,"Animal.7599",22,"Tell Mozan",6,"MBA",2,"Rad_prox",0.24,0.02,0.18,0.8
1483,"Animal.76",5,"El Kowm 2",1,"PPNB",3,"Rad_dist",0.105,0,0.43,0.57
1484,"Animal.7600",22,"Tell Mozan",6,"MBA",2,"Rad_prox",0.081,0.28,0.47,0.25
1485,"Animal.7601",22,"Tell Mozan",6,"MBA",2,"Rad_prox",0.076,0.29,0.48,0.23
1486,"Animal.7602",22,"Tell Mozan",6,"MBA",2,"Rad_prox",0.098,0.25,0.45,0.3
1487,"Animal.7605",22,"Tell Mozan",6,"MBA",4,"Mtc",0.131,0,0.51,0.49
1488,"Animal.7606",22,"Tell Mozan",6,"MBA",4,"Mtc",0.233,0,0.19,0.81
1489,"Animal.7608",22,"Tell Mozan",6,"MBA",4,"Mtc",0.111,0,0.59,0.41
1490,"Animal.7616",22,"Tell Mozan",6,"MBA",4,"Mtc",0.147,0,0.45,0.55
1491,"Animal.7618",22,"Tell Mozan",6,"MBA",4,"Mtc",0.076,0,0.71,0.29
1492,"Animal.7620",22,"Tell Mozan",6,"MBA",4,"Mtc",0.1,0,0.63,0.37
1493,"Animal.7621",22,"Tell Mozan",6,"MBA",4,"Mtc",0.08,0,0.7,0.3
1494,"Animal.7624",22,"Tell Mozan",6,"MBA",4,"Mtc",0.045,0,0.79,0.21
1495,"Animal.7628",22,"Tell Mozan",6,"MBA",5,"Tib",0.117,0,0.51,0.49
1496,"Animal.7629",22,"Tell Mozan",6,"MBA",5,"Tib",0.063,0,0.7,0.3
1497,"Animal.7630",22,"Tell Mozan",6,"MBA",5,"Tib",-0.09,0,0.91,0.09
1498,"Animal.7631",22,"Tell Mozan",6,"MBA",5,"Tib",0.203,0,0.28,0.72
1499,"Animal.7632",22,"Tell Mozan",6,"MBA",5,"Tib",0.073,0,0.67,0.33
1500,"Animal.7633",22,"Tell Mozan",6,"MBA",5,"Tib",0.091,0,0.6,0.4
1501,"Animal.7634",22,"Tell Mozan",6,"MBA",5,"Tib",0.191,0,0.3,0.7
1502,"Animal.7635",22,"Tell Mozan",6,"MBA",5,"Tib",0.139,0,0.43,0.57
1503,"Animal.7636",22,"Tell Mozan",6,"MBA",5,"Tib",0.031,0,0.8,0.2
1504,"Animal.7637",22,"Tell Mozan",6,"MBA",5,"Tib",0.2,0,0.28,0.72
1505,"Animal.7638",22,"Tell Mozan",6,"MBA",5,"Tib",0.107,0,0.55,0.45
1506,"Animal.7639",22,"Tell Mozan",6,"MBA",5,"Tib",0.091,0,0.6,0.4
1507,"Animal.764",8,"Hirbemerdon Tepe",6,"MBA",2,"Rad_prox",0.142,0.3,0.43,0.28
1508,"Animal.7640",22,"Tell Mozan",6,"MBA",5,"Tib",0.185,0,0.31,0.69
1509,"Animal.7641",22,"Tell Mozan",6,"MBA",5,"Tib",0.034,0,0.79,0.21
1510,"Animal.7642",22,"Tell Mozan",6,"MBA",5,"Tib",0.152,0,0.39,0.61
1511,"Animal.7643",22,"Tell Mozan",6,"MBA",5,"Tib",0.09,0,0.61,0.39
1512,"Animal.7644",22,"Tell Mozan",6,"MBA",7,"Cal",0.137,0,0.53,0.47
1513,"Animal.7645",22,"Tell Mozan",6,"MBA",7,"Cal",0.056,0,0.76,0.24
1514,"Animal.7646",22,"Tell Mozan",6,"MBA",7,"Cal",0.061,0,0.76,0.24
1515,"Animal.7647",22,"Tell Mozan",6,"MBA",7,"Cal",0.306,0,0.31,0.69
1516,"Animal.7648",22,"Tell Mozan",6,"MBA",6,"Ast",0.092,0.42,0.38,0.21
1517,"Animal.7649",22,"Tell Mozan",6,"MBA",6,"Ast",0.187,0.15,0.24,0.61
1518,"Animal.765",10,"Kenan Tepe",6,"MBA",2,"Rad_prox",0.057,0.34,0.47,0.19
1519,"Animal.7650",22,"Tell Mozan",6,"MBA",6,"Ast",0.161,0.23,0.28,0.49
1520,"Animal.7651",22,"Tell Mozan",6,"MBA",6,"Ast",0.057,0.47,0.4,0.13
1521,"Animal.7652",22,"Tell Mozan",6,"MBA",6,"Ast",0.088,0.42,0.38,0.19
1522,"Animal.7653",22,"Tell Mozan",6,"MBA",6,"Ast",0.042,0.49,0.41,0.1
1523,"Animal.7654",22,"Tell Mozan",6,"MBA",6,"Ast",0.028,0.5,0.41,0.09
1524,"Animal.7655",22,"Tell Mozan",6,"MBA",6,"Ast",0.143,0.28,0.31,0.41
1525,"Animal.7656",22,"Tell Mozan",6,"MBA",6,"Ast",0.023,0.5,0.42,0.09
1526,"Animal.7657",22,"Tell Mozan",6,"MBA",6,"Ast",0.102,0.4,0.37,0.24
1527,"Animal.7658",22,"Tell Mozan",6,"MBA",6,"Ast",0.088,0.43,0.38,0.19
1528,"Animal.7659",22,"Tell Mozan",6,"MBA",6,"Ast",0.138,0.3,0.32,0.38
1529,"Animal.766",26,"Turbe Hoyuk",6,"MBA",2,"Rad_prox",0.162,0.31,0.4,0.29
1530,"Animal.7660",22,"Tell Mozan",6,"MBA",6,"Ast",0.079,0.44,0.39,0.17
1531,"Animal.7661",22,"Tell Mozan",6,"MBA",6,"Ast",0.075,0.45,0.39,0.16
1532,"Animal.7662",22,"Tell Mozan",6,"MBA",8,"Mtt",-0.128,0,0.91,0.09
1533,"Animal.7663",22,"Tell Mozan",6,"MBA",8,"Mtt",0.123,0,0.38,0.62
1534,"Animal.767",26,"Turbe Hoyuk",6,"MBA",3,"Rad_dist",0.212,0,0.42,0.58
1535,"Animal.768",9,"Kavusan Hoyuk",6,"MBA",3,"Rad_dist",0.099,0,0.64,0.36
1536,"Animal.7681",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.154,0.11,0.31,0.58
1537,"Animal.7682",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.105,0.2,0.43,0.38
1538,"Animal.7683",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.175,0.08,0.26,0.66
1539,"Animal.7684",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.135,0.14,0.36,0.51
1540,"Animal.7685",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.108,0.19,0.42,0.39
1541,"Animal.7686",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.075,0.26,0.49,0.26
1542,"Animal.7687",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.006,0.34,0.56,0.1
1543,"Animal.7688",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.168,0.09,0.28,0.64
1544,"Animal.7689",20,"Tell Chuera",5,"EBA",1,"Hum_dist",-0.012,0.35,0.58,0.08
1545,"Animal.769",13,"Muslumantepe",6,"MBA",2,"Rad_prox",0.18,0.24,0.39,0.36
1546,"Animal.7690",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.114,0.18,0.41,0.42
1547,"Animal.7691",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.105,0.19,0.43,0.38
1548,"Animal.7692",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.163,0.09,0.29,0.62
1549,"Animal.7693",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.151,0.11,0.32,0.57
1550,"Animal.7694",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.157,0.1,0.3,0.6
1551,"Animal.7695",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.066,0.27,0.5,0.22
1552,"Animal.7696",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.051,0.3,0.52,0.18
1553,"Animal.7697",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.109,0.19,0.42,0.39
1554,"Animal.7698",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.094,0.22,0.45,0.33
1555,"Animal.7699",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.108,0.19,0.42,0.39
1556,"Animal.77",5,"El Kowm 2",1,"PPNB",4,"Mtc",0.058,0,0.71,0.29
1557,"Animal.770",13,"Muslumantepe",6,"MBA",2,"Rad_prox",0.198,0.2,0.36,0.43
1558,"Animal.7700",20,"Tell Chuera",5,"EBA",1,"Hum_dist",-0.009,0.35,0.57,0.08
1559,"Animal.7701",20,"Tell Chuera",5,"EBA",1,"Hum_dist",0.097,0.21,0.45,0.34
1560,"Animal.7704",20,"Tell Chuera",5,"EBA",2,"Rad_prox",-0.035,0.51,0.43,0.06
1561,"Animal.7705",20,"Tell Chuera",5,"EBA",2,"Rad_prox",0.1,0.38,0.32,0.3
1562,"Animal.7706",20,"Tell Chuera",5,"EBA",2,"Rad_prox",0.092,0.4,0.33,0.28
1563,"Animal.7707",20,"Tell Chuera",5,"EBA",2,"Rad_prox",0.138,0.26,0.28,0.46
1564,"Animal.7708",20,"Tell Chuera",5,"EBA",2,"Rad_prox",0.12,0.32,0.3,0.38
1565,"Animal.7709",20,"Tell Chuera",5,"EBA",2,"Rad_prox",0.135,0.27,0.28,0.45
1566,"Animal.771",8,"Hirbemerdon Tepe",6,"MBA",2,"Rad_prox",0.19,0.19,0.35,0.46
1567,"Animal.7710",20,"Tell Chuera",5,"EBA",2,"Rad_prox",0.065,0.46,0.35,0.19
1568,"Animal.7711",20,"Tell Chuera",5,"EBA",2,"Rad_prox",0.078,0.43,0.34,0.23
1569,"Animal.7712",20,"Tell Chuera",5,"EBA",2,"Rad_prox",0.056,0.47,0.36,0.17
1570,"Animal.7713",20,"Tell Chuera",5,"EBA",3,"Rad_dist",0.035,0,0.76,0.24
1571,"Animal.7714",20,"Tell Chuera",5,"EBA",3,"Rad_dist",0.127,0,0.43,0.57
1572,"Animal.7715",20,"Tell Chuera",5,"EBA",3,"Rad_dist",0.083,0,0.6,0.4
1573,"Animal.7716",20,"Tell Chuera",5,"EBA",3,"Rad_dist",0.154,0,0.34,0.66
1574,"Animal.7717",20,"Tell Chuera",5,"EBA",3,"Rad_dist",0.207,0,0.21,0.79
1575,"Animal.7718",20,"Tell Chuera",5,"EBA",3,"Rad_dist",0.083,0,0.6,0.4
1576,"Animal.7719",20,"Tell Chuera",5,"EBA",3,"Rad_dist",0.016,0,0.81,0.19
1577,"Animal.772",8,"Hirbemerdon Tepe",6,"MBA",3,"Rad_dist",0.276,0,0.21,0.79
1578,"Animal.7730",20,"Tell Chuera",5,"EBA",4,"Mtc",0.087,0,0.61,0.39
1579,"Animal.7732",20,"Tell Chuera",5,"EBA",4,"Mtc",0.172,0,0.29,0.71
1580,"Animal.7733",20,"Tell Chuera",5,"EBA",4,"Mtc",0.024,0,0.81,0.19
1581,"Animal.7734",20,"Tell Chuera",5,"EBA",4,"Mtc",0.069,0,0.67,0.33
1582,"Animal.7735",20,"Tell Chuera",5,"EBA",4,"Mtc",0.1,0,0.56,0.44
1583,"Animal.7736",20,"Tell Chuera",5,"EBA",4,"Mtc",0.1,0,0.56,0.44
1584,"Animal.7737",20,"Tell Chuera",5,"EBA",4,"Mtc",0.172,0,0.29,0.71
1585,"Animal.7749",20,"Tell Chuera",5,"EBA",6,"Ast",0.14,0.48,0.24,0.28
1586,"Animal.7750",20,"Tell Chuera",5,"EBA",6,"Ast",0.092,0.57,0.28,0.15
1587,"Animal.7751",20,"Tell Chuera",5,"EBA",6,"Ast",0.139,0.48,0.23,0.28
1588,"Animal.7753",20,"Tell Chuera",5,"EBA",6,"Ast",0.096,0.57,0.27,0.16
1589,"Animal.7754",20,"Tell Chuera",5,"EBA",6,"Ast",0.1,0.56,0.27,0.17
1590,"Animal.7755",20,"Tell Chuera",5,"EBA",6,"Ast",0.139,0.48,0.24,0.28
1591,"Animal.7756",20,"Tell Chuera",5,"EBA",6,"Ast",0.109,0.55,0.26,0.19
1592,"Animal.7757",20,"Tell Chuera",5,"EBA",6,"Ast",0.082,0.58,0.28,0.13
1593,"Animal.7758",20,"Tell Chuera",5,"EBA",6,"Ast",0.157,0.43,0.22,0.35
1594,"Animal.7759",20,"Tell Chuera",5,"EBA",6,"Ast",0.027,0.63,0.31,0.06
1595,"Animal.7760",20,"Tell Chuera",5,"EBA",6,"Ast",0.1,0.56,0.27,0.17
1596,"Animal.7761",20,"Tell Chuera",5,"EBA",6,"Ast",0.144,0.47,0.23,0.3
